Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent
21941-28525,WR,Braxton,Braxton Miller,Miller,2.120000076,5,4500,ARI@HOU,HOU,ARI
21941-27527,TE,Blake,Blake Jarwin,Jarwin,0,0,4500,PHI@DAL,DAL,PHI
21941-23435,TE,Andrew,Andrew DePaola,DePaola,0,0,4500,DET@CHI,CHI,DET
21941-19342,TE,Demetrius,Demetrius Harris,Harris,2.099999973,7,4500,KC@NYG,KC,NYG
21941-29583,TE,Randall,Randall Telfer,Telfer,1.700000048,2,4500,JAC@CLE,CLE,JAC
21941-40857,RB,Peyton,Peyton Barber,Barber,2.775000095,4,4500,TB@MIA,TB,MIA
21941-14240,TE,Lance,Lance Kendricks,Kendricks,4,6,4500,BAL@GB,GB,BAL
21941-52130,K,Patrick,Patrick Murray,Murray,6.4,5,4500,TB@MIA,TB,MIA
21941-34729,RB,Dwayne,Dwayne Washington,Washington,1.360000038,5,4500,DET@CHI,DET,CHI
21941-22447,WR,Griff,Griff Whalen,Whalen,2.150000095,2,4500,BAL@GB,BAL,GB
21941-56248,WR,Noah,Noah Brown,Brown,1.799999952,1,4500,PHI@DAL,DAL,PHI
21941-43961,RB,Tyler,Tyler Ervin,Ervin,2.25,4,4500,ARI@HOU,HOU,ARI
21941-30654,TE,Jerell,Jerell Adams,Adams,2.333333333,3,4500,KC@NYG,NYG,KC
21941-32703,WR,Jakeem,Jakeem Grant,Grant,0.375,8,4500,TB@MIA,MIA,TB
21941-41922,WR,Johnny,Johnny Holton,Holton,11.89999962,2,4500,NE@OAK,OAK,NE
21941-43970,RB,Shane,Shane Smith,Smith,0,0,4500,KC@NYG,NYG,KC
21941-43973,RB,Keith,Keith Smith,Smith,1.299999952,2,4500,PHI@DAL,DAL,PHI
21941-57299,TE,Gerald,Gerald Everett,Everett,4.442857197,7,4500,LAR@MIN,LAR,MIN
21941-25561,WR,Michael,Michael Campanaro,Campanaro,3.485714231,7,4500,BAL@GB,BAL,GB
21941-14304,TE,Luke,Luke Stocker,Stocker,4.650000095,2,4500,TB@MIA,TB,MIA
21941-40932,WR,Pharoh,Pharoh Cooper,Cooper,1.299999979,9,4500,LAR@MIN,LAR,MIN
21941-41964,TE,Vince,Vince Mayle,Mayle,2.066666603,3,4500,BAL@GB,BAL,GB
21941-14319,RB,Taiwan,Taiwan Jones,Jones,0.800000012,2,4500,BUF@LAC,BUF,LAC
21941-14327,RB,Anthony,Anthony Sherman,Sherman,0.533333341,3,4500,KC@NYG,KC,NYG
21941-12527,D,Chicago,Chicago Bears,Bears,8.888888889,9,4400,DET@CHI,CHI,DET
21941-12539,D,Miami,Miami Dolphins,Dolphins,5.75,8,4400,TB@MIA,MIA,TB
21941-12530,D,Dallas,Dallas Cowboys,Cowboys,7.222222222,9,4300,PHI@DAL,DAL,PHI
21941-12548,D,Los Angeles,Los Angeles Chargers,Chargers,8.222222222,9,4300,BUF@LAC,LAC,BUF
21941-12537,D,Oakland,Oakland Raiders,Raiders,3,9,4100,NE@OAK,OAK,NE
21941-12543,D,New York,New York Giants,Giants,4.666666667,9,4100,KC@NYG,NYG,KC
21941-12529,D,Cleveland,Cleveland Browns,Browns,5.555555556,9,4000,JAC@CLE,CLE,JAC
21941-12552,D,Washington,Washington Redskins,Redskins,6.666666667,9,4000,WAS@NO,WAS,NO
